company,Date,Open,High,Low,Close,Adj Close,Volume
HDFC Bank,1/1/2020,1276.099976,1304.849976,1211.75,1226.300049,1193.297241,137910086
HDFC Bank,2/1/2020,1220,1259.900024,1170.099976,1177.650024,1145.956421,131226577
HDFC Bank,3/1/2020,1200.199951,1201.150024,738.75,861.900024,838.704163,473125765
HDFC Bank,4/1/2020,863.849976,1019,810,1001.799988,974.83905,397741571
HDFC Bank,5/1/2020,1001.799988,1001.799988,826.099976,951.650024,926.038757,383193554
HDFC Bank,6/1/2020,975,1082.599976,928,1065.849976,1037.165405,467983388
HDFC Bank,7/1/2020,1065.849976,1157.949951,1020.049988,1032.800049,1005.004883,352780703
HDFC Bank,8/1/2020,1025.949951,1148.800049,993,1115.849976,1085.819702,292230618
HDFC Bank,9/1/2020,1128,1145.949951,1025,1078.599976,1049.572144,208518898
HDFC Bank,10/1/2020,1090.099976,1251,1090.099976,1183.550049,1151.697754,255629727
HDFC Bank,11/1/2020,1194.349976,1464.400024,1177.5,1440.849976,1402.073242,256002266
HDFC Bank,12/1/2020,1440.849976,1449,1345,1436.300049,1397.64563,224469430
HDFC Bank,1/1/2021,1440,1511.650024,1342,1390.5,1353.078125,203209754
HDFC Bank,2/1/2021,1410.25,1641,1401,1534.400024,1493.105469,199359334
HDFC Bank,3/1/2021,1564,1600,1450.25,1493.650024,1453.452271,180153578
HDFC Bank,4/1/2021,1499.400024,1503.650024,1353,1412.300049,1374.291626,235770297
HDFC Bank,5/1/2021,1393,1520.449951,1377.300049,1515.849976,1475.054688,158412762
HDFC Bank,6/1/2021,1520.300049,1527,1455,1497.900024,1457.587891,109133234
HDFC Bank,7/1/2021,1502,1545.349976,1404,1426.449951,1394.068115,150389347
HDFC Bank,8/1/2021,1435,1583.349976,1410,1581.400024,1545.500732,134711410
HDFC Bank,9/1/2021,1575,1635.5,1528.949951,1594.949951,1558.743042,128605303
HDFC Bank,10/1/2021,1583,1725,1560,1582.849976,1546.917725,125213820
HDFC Bank,11/1/2021,1585,1622,1462,1493.550049,1459.64502,129924758
HDFC Bank,12/1/2021,1495,1555.050049,1414.099976,1479.400024,1445.816162,112838990
