company,Date,Open,High,Low,Close,Adj Close,Volume
Infy,1/1/2020,735,792.799988,708.299988,775.950012,698.78717,189277362
Infy,2/1/2020,775.099976,811.599976,722.049988,731.700012,658.937683,112890806
Infy,3/1/2020,737,773.549988,509.25,641.5,577.707336,305156542
Infy,4/1/2020,634.349976,720,582.150024,715.5,644.348572,203538623
Infy,5/1/2020,715.5,715.5,646.700012,691,622.284973,180604556
Infy,6/1/2020,698.75,751.599976,675.5,735.950012,671.786743,240810488
Infy,7/1/2020,737.25,986.450012,729.75,966,881.779907,397100277
Infy,8/1/2020,960,974.400024,914.599976,928.599976,847.640625,155088967
Infy,9/1/2020,926.25,1037,912.099976,1008.25,920.346375,232397098
Infy,10/1/2020,1020.599976,1186,1011.75,1060.599976,968.132385,284991815
Infy,11/1/2020,1065,1154.900024,1051.099976,1100,1014.88385,208543153
Infy,12/1/2020,1105.050049,1258.849976,1105.050049,1255.800049,1158.62854,205793830
Infy,1/1/2021,1257.900024,1392.800049,1231,1239.050049,1143.174438,206714641
Infy,2/1/2021,1250.550049,1332,1241,1253.300049,1156.321777,135880762
Infy,3/1/2021,1263.300049,1406,1259,1368.050049,1262.192627,170796692
Infy,4/1/2021,1380,1477.550049,1320,1354.349976,1249.552612,174375276
Infy,5/1/2021,1340.800049,1416.25,1311.300049,1393.75,1285.903931,110635877
Infy,6/1/2021,1400,1591,1365,1580.800049,1474.218994,147298100
Infy,7/1/2021,1576.849976,1623.400024,1533.75,1610.5,1501.916382,109513508
Infy,8/1/2021,1627.449951,1757,1619.199951,1706.449951,1591.397095,132748512
Infy,9/1/2021,1709.5,1788,1655,1675.199951,1562.25415,113957923
Infy,10/1/2021,1665.099976,1848,1661.050049,1667.75,1555.306396,144440594
Infy,11/1/2021,1677.5,1808.949951,1669.150024,1712.650024,1611.334106,104526424
Infy,12/1/2021,1715,1909.800049,1691.5,1887.75,1776.075439,109472023
