company,Date,Open,High,Low,Close,Adj Close,Volume
TCS,1/1/2020,2168,2183.899902,2154,2167.600098,1999.318359,1354908
TCS,1/2/2020,2179.949951,2179.949951,2149.199951,2157.649902,1990.141113,2380752
TCS,1/3/2020,2164,2223,2164,2200.649902,2029.802979,4655761
TCS,1/6/2020,2205,2225.949951,2187.899902,2200.449951,2029.61792,3023209
TCS,1/7/2020,2200.5,2214.649902,2183.800049,2205.850098,2034.599243,2429317
TCS,1/8/2020,2205,2260,2202.050049,2255.25,2080.164307,5197454
TCS,1/9/2020,2248.75,2251.949951,2210,2214.350098,2042.439453,3734173
TCS,1/10/2020,2228,2234,2208,2213.550049,2041.700928,1915807
TCS,1/13/2020,2217.850098,2218.949951,2184.699951,2190.350098,2020.30249,2843893
TCS,1/14/2020,2195,2229.800049,2195,2206.899902,2035.567871,2948452
TCS,1/15/2020,2213,2231,2194.199951,2226.899902,2054.014648,2620681
TCS,1/16/2020,2226.949951,2249,2215,2238.800049,2064.990967,3117214
TCS,1/17/2020,2240.75,2253.550049,2213,2219.100098,2046.820679,3281059
TCS,1/20/2020,2194.899902,2242.199951,2156.199951,2170.350098,2001.855347,5817599
TCS,1/21/2020,2169.949951,2186.550049,2158.050049,2171.050049,2002.501099,1902980
TCS,1/22/2020,2181,2210,2173.699951,2206.899902,2035.567871,1773686
TCS,1/23/2020,2209.800049,2217.75,2183.699951,2190.949951,2025.444946,2069866
TCS,1/24/2020,2190.949951,2190.949951,2170,2183.399902,2018.464966,1319430
TCS,1/27/2020,2189.699951,2193.449951,2165,2169.25,2005.383789,1549101
TCS,1/28/2020,2174,2187.800049,2152,2183.75,2018.788818,1743024
TCS,1/29/2020,2185,2186.949951,2150,2154.600098,1991.840454,2306761
TCS,1/30/2020,2160,2165,2125,2137.850098,1976.355835,2098567
TCS,1/31/2020,2139.399902,2144.350098,2071.600098,2079.050049,1921.998047,3287223
TCS,2/3/2020,2152,2194.699951,2093.199951,2102.5,1943.67627,4728073
TCS,2/4/2020,2129,2136.699951,2086.600098,2107.75,1948.529785,3509339
TCS,2/5/2020,2115,2156.699951,2104.300049,2146.550049,1984.39917,2439322
TCS,2/6/2020,2145,2174.199951,2115.5,2128.350098,1967.573853,2640065
TCS,2/7/2020,2139,2151,2119,2136.550049,1975.154175,2083442
TCS,2/10/2020,2140.899902,2167,2119,2161.949951,1998.635498,2383032
TCS,2/11/2020,2163,2174.800049,2147.600098,2153.399902,1990.731812,1335820
TCS,2/12/2020,2151.100098,2185,2150,2170.75,2006.77063,1620407
TCS,2/13/2020,2172.949951,2197,2171,2191.949951,2026.369263,1645948
TCS,2/14/2020,2188,2212,2171,2184.199951,2019.20459,1500115
TCS,2/17/2020,2196.949951,2217,2190.199951,2203.25,2036.815674,1774724
TCS,2/18/2020,2199.949951,2221,2186.050049,2215.75,2048.371826,2486223
TCS,2/19/2020,2215.75,2230,2190.5,2196.350098,2030.436768,1760463
TCS,2/20/2020,2204.5,2214.399902,2151.25,2156.800049,1993.874268,2317278
TCS,2/24/2020,2156,2178.949951,2106.699951,2115.350098,1955.555908,3092877
TCS,2/25/2020,2115.5,2176.649902,2111,2156.149902,1993.273804,2674567
TCS,2/26/2020,2154,2163.899902,2112.949951,2123.600098,1963.182495,2686842
TCS,2/27/2020,2119.949951,2119.949951,2086.199951,2105.5,1946.449585,2349001
TCS,2/28/2020,2068,2069.5,1990,2000.150024,1849.057739,4298076
TCS,3/2/2020,2035,2053.949951,1985.699951,2001.300049,1850.121094,2667076
TCS,3/3/2020,2020,2060,2012,2036.199951,1882.38501,2757585
TCS,3/4/2020,2056,2094.449951,2025,2083.199951,1925.834473,3237002
TCS,3/5/2020,2085.699951,2147.75,2084.050049,2125.050049,1964.523315,3937056
TCS,3/6/2020,2098,2123.649902,2071.600098,2116.449951,1956.572266,2595027
TCS,3/9/2020,2075,2079.899902,1935,1972.349976,1823.35791,4940975
TCS,3/11/2020,1933,1987.300049,1920,1953.699951,1806.116699,6796449
TCS,3/12/2020,1904,1908.400024,1758.349976,1769.849976,1636.155029,8728786
TCS,3/13/2020,1687.900024,1820,1506.050049,1806.300049,1669.851563,8029720
TCS,3/16/2020,1755,1842.25,1675.849976,1696.400024,1568.253296,7844271
TCS,3/17/2020,1730,1731,1623.150024,1658,1532.754028,5713248
TCS,3/18/2020,1676.800049,1713.550049,1627.75,1654.400024,1529.426392,7258778
TCS,3/19/2020,1559.699951,1685.449951,1546.75,1636.349976,1523.792114,5135111
TCS,3/20/2020,1630,1869,1627,1797.449951,1673.810791,8547498
TCS,3/23/2020,1620,1750,1617.75,1669.699951,1554.848145,7003490
TCS,3/24/2020,1653.050049,1770,1632.849976,1703.150024,1585.997437,6350865
TCS,3/25/2020,1700,1810,1680,1750.300049,1629.903931,2765520
TCS,3/26/2020,1831.599976,1832.050049,1722.550049,1790.949951,1667.757813,4556067
TCS,3/27/2020,1820,1850,1750.400024,1824.5,1699,4331250
TCS,3/30/2020,1766,1905,1763.550049,1778.5,1656.164307,8513547
TCS,3/31/2020,1837.400024,1855,1780,1826.099976,1700.490234,3927593
TCS,4/1/2020,1825.900024,1834.75,1702,1708.75,1591.212158,4941878
TCS,4/3/2020,1740,1740,1650,1654.199951,1540.414307,5735369
TCS,4/7/2020,1710,1785.849976,1705,1775.199951,1653.091309,5427577
TCS,4/8/2020,1760,1806,1701,1705.449951,1588.13916,6285615
TCS,4/9/2020,1750.449951,1778.800049,1731.199951,1766.150024,1644.663574,5307397
TCS,4/13/2020,1761,1787,1746,1759.25,1638.238159,2990438
TCS,4/15/2020,1785,1812,1727.800049,1735.150024,1615.796143,4761399
